same_total,plus_25_percent,plus_extra_budget
86953.34660554398,125992.82712033787,96721.58571446943
71639.95735303301,106838.2285738897,80005.39521145565
48017.893752238364,74451.8281227437,54507.34144492657
65593.28327277218,98995.34205224118,73665.6302246805
54793.438722322055,91843.70591748395,63921.783580211166
113987.16850484209,161907.639937056,125133.7705225054
67163.03737803141,99874.91656788602,75114.08478743327
80234.52888987091,121620.68899306719,90570.59440391645
49923.98049955035,80224.02818820532,58082.50101203751
40397.41269925004,67998.47515685315,47992.331252337026
48129.18102688005,83917.78158789955,58041.20596091612
91050.1737696352,137441.2346395554,102417.68504700874
82276.59117467992,132735.5065907999,95471.90823088831
56516.0717194911,89050.45136309927,64460.699201814714
46821.19608819415,87022.66171844152,58482.11269673391
63087.96212939848,102739.59109813487,73446.45896687265
39074.446271317196,67599.19424170116,47048.62076467532
67547.07833130896,115147.85723839921,80642.7307934335
33726.159764273674,56498.43299261632,39828.56279254833
77117.85154515423,114597.05019503628,85924.37018089555
65676.81174759706,107919.53822213574,76776.13203840982
35003.77273312304,64593.35763858742,43091.416404141055
61388.02442269685,91319.81530474784,68300.21531517257
53628.65791563416,84994.8944528253,61702.97566327109
39432.515305591165,61590.66545284144,45191.696537210606
81072.39830419898,120079.07953373459,90519.14463990286
58562.734788308735,90084.30555486795,66107.05867485469
70764.07939014223,123310.02742879465,84579.29888806515
42932.2292225057,63168.25622639875,47826.82460657373
59019.31565045798,108311.78753965022,72894.36942812824
79149.40895222762,126018.93067085673,91039.83245253656
68053.0196489289,105397.99322331627,77447.68721460272
69461.702451305,113836.52217469411,80932.86858188722
53428.48547224753,87181.91726369731,62242.63075677841
86955.8576250046,134570.60129371134,98297.77480928274
55725.278604794934,96833.50105493981,66413.69907067763
37507.755541921244,73948.89586956229,47882.442906160606
67871.31991105317,114981.62270270684,80631.07662859745
79017.22307286359,118712.97405419638,88274.18400946632
70042.40025324665,126755.3514291608,84953.89872862701
53620.78873294033,92227.44485417556,63919.06833532208
96167.30398883094,138438.84093698976,106143.8625464653
50039.875423198275,73546.61624071875,55493.806094685686
59227.41603007249,86505.37395980454,65565.68124419253
77079.56914411264,115401.68386131444,86772.53944107878
124287.17922936258,177898.11590949201,137721.45184092806
62256.92948577483,93380.91868558951,70126.11555918376
42186.59060046659,75939.4595164766,52134.21162169834
41617.0795084408,76319.58768864174,50998.03940760018
47903.591389840236,87919.87801416009,58971.22740403027
42277.060185910144,68021.5689177544,49256.39631408121
41399.65230010735,74074.8385179523,50010.07726482861
56939.91692219605,101100.81847914355,69007.1937924847
112163.79277808918,173885.72232135048,126452.6568545787
71337.56349386688,105815.32612035016,79626.14229929773
59346.349047570024,93091.73042352032,67800.32418203168
65764.39374650468,99934.19342381111,73944.6533075287
77946.34350555408,133318.81383852608,92301.592110492
69804.6111739531,110811.07653971697,79775.76049259194
65977.46722404729,95160.60882647522,72802.18739866099
97975.28959339927,135006.812108594,106898.8113719623
86123.73664348043,128061.65865709231,95913.52776581445
49855.79678927275,81304.03805307025,58549.921758576005
37414.52623093722,78122.7823904506,48510.09698946297
71714.05409441754,115805.589241879,82891.47562257067
52555.42469675973,85272.03669557208,61119.04746090813
51895.07875323709,89339.16644578736,61665.80754911731
87738.29537984222,135636.4859180195,100032.46739039425
99975.4762913675,151560.84624496876,112629.91152224137
45858.84483264305,75246.69284650241,53423.710467678844
71583.09321976348,112748.34653681685,82085.57089895895
37997.83960102883,76731.98867756093,49254.39336879144
50859.37975403812,84191.0275123436,59794.85379184602
89411.51460419182,131993.29581918637,99502.55537884642
74039.18620307522,106100.2399917111,81801.88324113702
51810.64969417773,86607.19721464865,61391.755529748974
22685.791073427303,50670.03465892584,30913.415543188225
59158.38099252054,89043.11112662195,66725.40736590081
34620.566727416124,72150.25720345625,45630.90769571939
108941.6148447048,157375.12193085847,121354.9332853604
57482.248917535995,88759.21716585441,65390.839174029185
72146.3517150929,125840.45187779935,85947.79310591484
50733.34178860381,87490.57769496966,60556.810371347005
68093.22258382948,110859.42931628495,79164.03756416286
56011.70584349398,96776.38948485616,65608.14887398656
52130.03296395246,85124.07291401963,60238.48994193907
49696.41627053206,87997.87158197397,60017.30762892845
69186.36265206651,124344.40395207668,83118.25420721085
120144.53576340387,183532.66292278422,134913.91736513958
71311.30213626777,112114.63110604463,81467.26099710132
40595.31068002235,74140.34545881732,49676.31625728158
46836.43465309311,79425.88218407868,55478.854034417076
50363.10870993987,83485.78565643149,57906.83235970631
128715.35727583827,195299.3863462857,144018.04675386334
44910.39451664197,68952.01110369223,51291.724772753194
55006.314108744846,82700.11941332952,61684.74076195393
76298.79763533681,113107.29045413976,84691.04732687358
34573.28182174108,54627.51390412706,39440.592848645116
58090.93305818486,102824.45022979082,69650.40048923751
53899.351782339276,89925.72565886623,63378.76973946311
61518.1841173062,96280.5243882516,69687.61488383915
48218.25627847324,78021.99003757065,56201.7356250899
60529.93350947858,108173.17417039792,73732.82085527037
63430.260309140605,105383.66856770322,74688.3585443733
51424.05618805182,94724.67923525115,63299.230740759056
84052.8017522245,129799.38772785384,95406.95833100326
67474.89067829732,107155.8096366516,77843.17055323417
64012.5496568454,90030.7819111488,70046.26195480512
72273.58648301431,104780.79697662228,79645.98909699547
47641.21310775506,66623.96022293356,52045.60768634488
80154.37412052043,116310.56257335562,88344.65151504969
55810.45107674698,81378.79411469208,61593.61016788165
60552.40109543485,96999.61325008335,70217.01526674035
91270.36904346349,141344.56599170668,104739.41868692671
80420.14873116871,118713.33221474558,89704.8175945935
36717.22684609733,76662.7475568945,48224.3534057872
65884.19766607834,122074.20508083806,80861.61000797764
29527.56598471175,63322.822701566736,39034.689231348224
112113.48463096959,185518.21342881292,128978.43197283568
80954.8834152784,133069.67925199145,94486.53682745562
64780.72133050801,100155.91737304267,73946.39601148653
78659.68855517422,124975.8470020647,90284.83760502527
31003.22501857602,51810.00058200862,36838.467263245024
54842.47364190279,85585.76811769372,62830.31170908385
48668.3104242945,77608.55879343016,55660.97427389215
70511.90485445084,107176.49668307498,79736.30973628553
86500.29611937352,139347.44506024546,100302.92531452747
48059.90431939473,81470.28904323524,56991.14442520717
38218.729298087186,64173.735744911886,45052.38691539911
136462.55397036643,202192.8766391732,151786.61940905993
59205.49565037119,84234.39675192273,65378.974146797904
